,lat,lng,z_score_lat,z_score_lng
55,28.56726,77.13429,1.091435821429755,1.2354364034150702
56,28.56715,77.13429,1.0889230530806004,1.2354364034150702
57,28.56696,77.13425,1.0845828168411296,1.2339403396863977
58,28.56663,77.13421,1.0770445117935847,1.2324442759577254
59,28.56618,77.13418,1.0667650049106059,1.2313222281613538
60,28.56581,77.13415,1.0583129659179433,1.2302001803649825
61,28.56543,77.13411,1.0496324934390016,1.22870411663631
62,28.56496,77.13408,1.0388961195834638,1.227582068839407
63,28.56448,77.13408,1.027931312241647,1.227582068839407
64,28.56381,77.134,1.0126262686603589,1.2245899413820622
65,28.56328,77.13396,1.0005192938870635,1.22309387765339
66,28.56286,77.13396,0.9909250874630041,1.22309387765339
67,28.56229,77.13391,0.9779043787445912,1.2212237979924165
68,28.56171,77.13388,0.964655236539899,1.220101750196045
69,28.56126,77.13385,0.9543757296569202,1.218979702399142
70,28.56065,77.13383,0.9404412869933086,1.2182316705350715
71,28.56,77.13373,0.9255931103845795,1.2144915112131247
72,28.55913,77.13354,0.9057193970775411,1.2073852085015322
73,28.55175,77.13046,0.7371354841969315,1.0921883013895033
74,28.55136,77.12995,0.7282265782317102,1.0731134888479998
75,28.55115,77.1297,0.7234294750196805,1.0637630905436641
76,28.55103,77.12954,0.7206882731842464,1.0577788356289746
77,28.55086,77.12933,0.7168049039173343,1.04992450105278
78,28.55058,77.12896,0.7104087663012677,1.036085911562427
79,28.54633,77.1236,0.61332453462887,0.8356133719123495
80,28.44598,77.1231,-1.6790055002717608,0.816912575303147
81,28.54293,77.11848,0.5356571492908707,0.6441172146353695
82,28.54253,77.11825,0.5265198098393701,0.6355148481951045
83,28.54216,77.11806,0.5180677708467075,0.6284085454835118
84,28.54173,77.11786,0.5082451309363687,0.6209282268396181
85,28.54165,77.11783,0.5064176630460523,0.6198061790432468
86,28.5416,77.11781,0.5052754956145742,0.6190581471791763
87,28.54158,77.11781,0.5048186286420153,0.6190581471791763
88,28.54141,77.11773,0.5009352593751032,0.6160660197212999
89,28.5412,77.11763,0.49613815616307344,0.6123258603998846
90,28.5409,77.1175,0.48928515157444796,0.6074636532815664
91,28.54055,77.11733,0.48128997955434427,0.6011053824340442
92,28.54018,77.11714,0.47283794056168177,0.593999079722983
93,28.53983,77.11696,0.46484276854157813,0.5872667929436913
94,28.53956,77.11685,0.45867506441187195,0.5831526176894436
95,28.53925,77.1167,0.4515936263368859,0.5775423787065234
96,28.53893,77.11655,0.4442837547757016,0.5719321397241346
97,28.53843,77.11625,0.43286208046132574,0.5607116617582941
98,28.5381,77.11601,0.42532377541378086,0.5517352793862597
99,28.53766,77.11556,0.4152727020170814,0.5349045624380304
100,28.53736,77.1152,0.4084196974284559,0.5214399888794471
101,28.53719,77.11493,0.4045363281615437,0.5113415587105096
102,28.53703,77.11463,0.4008813923809922,0.5001210807452007
103,28.5369,77.11436,0.3979117570591976,0.49002265057626315
